Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Speed_limit,Year,Day_week,Sum_Casulities_by_Day
20064100G0082,-0.26942,51.958323,2,1,1,2006-01-01,1,20:58,30,2006,,
20064100T3002,-0.494233,51.659555,3,2,2,2006-01-01,1,23:25,70,2006,,
200642B000901,0.422619,51.581083,2,1,1,2006-01-01,1,5:52,30,2006,,
200642F000201,0.263243,51.496492,3,5,3,2006-01-01,1,5:42,70,2006,,
200642H000101,0.693258,51.544062,3,1,1,2006-01-01,1,3:00,30,2006,,
200642H000201,0.695836,51.558393,3,2,4,2006-01-01,1,3:40,40,2006,,
200642H000401,0.737393,51.544029,2,1,1,2006-01-01,1,1:20,30,2006,,
200643P005016,-1.155664,51.90076,3,2,1,2006-01-01,1,8:58,30,2006,,
200643P007016,-1.224526,51.750539,3,1,1,2006-01-01,1,15:20,30,2006,,
200643W041016,-0.731546,51.538269,3,2,1,2006-01-01,1,20:51,30,2006,,
200643W073016,-0.787592,51.425921,3,1,1,2006-01-01,1,1:20,30,2006,,
200645SU79251,-0.70598,51.331078,3,1,1,2006-01-01,1,0:42,30,2006,,
200650A51G421,-5.102759,50.168989,3,2,1,2006-01-01,1,15:25,30,2006,,
200650D42A032,-3.383585,50.864136,3,1,1,2006-01-01,1,12:15,60,2006,,
200650E21A231,-4.159156,50.365772,3,3,1,2006-01-01,1,13:05,30,2006,,
200650E31A022,-4.087828,50.39064,3,2,1,2006-01-01,1,17:00,30,2006,,
200650F51G579,-3.758955,50.377102,3,2,2,2006-01-01,1,16:30,60,2006,,
200697EC00801,-4.184085,55.874187,3,1,1,2006-01-01,1,8:00,50,2006,,
200697ED00201,-4.146988,55.862437,3,3,1,2006-01-01,1,17:10,40,2006,,
200697GA70101,-4.347921,55.857868,2,1,4,2006-01-01,1,4:20,70,2006,,
200697QA00201,-4.148801,55.776575,2,1,1,2006-01-01,1,18:20,30,2006,,
200697QA70101,-4.157289,55.754137,3,1,2,2006-01-01,1,17:10,70,2006,,
2.01E+12,-3.222783,54.111292,3,3,1,2006-01-02,4,14:11,30,2006,,
2.01E+12,-2.936167,54.89056,3,1,1,2006-01-02,4,19:24,30,2006,,
2.01E+12,-2.586875,53.392151,3,3,2,2006-01-02,4,16:20,30,2006,,
2.01E+12,-2.583691,53.401245,3,2,1,2006-01-02,4,17:30,30,2006,,
2.01E+12,-2.884975,53.191472,3,1,1,2006-01-02,4,15:35,30,2006,,
2.01E+12,-2.121051,53.351104,3,2,1,2006-01-02,4,8:30,30,2006,,
2.01E+12,-2.358019,53.142443,3,2,2,2006-01-02,4,8:15,30,2006,,
2.01E+12,-1.658481,54.989662,3,2,1,2006-01-02,4,20:20,30,2006,,
2.01E+12,-1.58201,54.933977,3,2,1,2006-01-02,4,23:50,30,2006,,
2.01E+12,-1.564999,55.035105,3,2,1,2006-01-02,4,14:30,30,2006,,
2.01E+12,-1.388652,54.902154,3,2,2,2006-01-02,4,13:00,30,2006,,
2.01E+12,-1.423898,54.880219,3,1,1,2006-01-02,4,11:00,30,2006,,
2.01E+12,-1.06109,53.940729,3,2,1,2006-01-02,4,17:35,30,2006,,
2.01E+12,-1.151678,53.920999,2,2,2,2006-01-02,4,20:52,60,2006,,
2.01E+12,-1.553492,53.809196,3,1,1,2006-01-02,4,2:40,30,2006,,
2.01E+12,-1.515911,53.828555,3,1,2,2006-01-02,4,18:14,30,2006,,
2.01E+12,-1.757634,53.828747,3,3,3,2006-01-02,4,7:30,30,2006,,
2.01E+12,-1.565804,53.793422,3,2,1,2006-01-02,4,18:40,30,2006,,
2.01E+12,-1.775378,53.834804,3,2,1,2006-01-02,4,16:50,30,2006,,
2.01E+12,-1.713722,53.82928,2,2,2,2006-01-02,4,14:25,30,2006,,
2.01E+12,-1.452729,53.81516,2,2,2,2006-01-02,4,18:10,40,2006,,
2.01E+12,-1.850849,53.591968,3,1,1,2006-01-02,4,11:38,30,2006,,
2.01E+12,-1.426921,53.61361,3,2,1,2006-01-02,4,8:27,30,2006,,
2.01E+12,-1.611938,53.795108,3,1,1,2006-01-02,4,15:00,30,2006,,
2.01E+12,-1.603564,53.781599,3,2,2,2006-01-02,4,10:42,30,2006,,
2.01E+12,-1.762839,53.768088,3,2,1,2006-01-02,4,13:30,30,2006,,
2.01E+12,-1.767397,53.84908,3,2,1,2006-01-02,4,9:05,30,2006,,
2.01E+12,-1.3583,53.6929,3,2,1,2006-01-02,4,9:00,30,2006,,
2.01E+12,-1.880747,53.705076,3,2,2,2006-01-02,4,13:10,40,2006,,
2.01E+12,-1.991182,52.96787,3,2,2,2006-01-02,4,15:39,40,2006,,
2.01E+12,-2.144964,52.825927,3,2,2,2006-01-02,4,16:10,30,2006,,
2.01E+12,-2.308396,52.494158,3,2,1,2006-01-02,4,14:40,60,2006,,
2.01E+12,-2.063836,52.659149,3,2,1,2006-01-02,4,18:50,60,2006,,
2.01E+12,-1.57522,52.275511,3,2,1,2006-01-02,4,20:15,60,2006,,
2.01E+12,-1.217328,52.382108,3,2,2,2006-01-02,4,18:20,30,2006,,
2.01E+12,-1.116241,52.624765,3,2,1,2006-01-02,4,14:09,40,2006,,
2.01E+12,-1.090511,52.604522,3,3,1,2006-01-02,4,18:00,30,2006,,
2.01E+12,-0.269974,52.58387,3,2,1,2006-01-02,4,8:30,30,2006,,
2.01E+12,-0.357189,52.616041,2,2,4,2006-01-02,4,12:53,60,2006,,
2.01E+12,-0.254595,52.592006,3,2,1,2006-01-02,4,9:30,30,2006,,
2.01E+12,0.136251,52.212526,3,2,1,2006-01-02,4,9:00,30,2006,,
2.01E+12,-0.178092,52.246662,3,3,2,2006-01-02,4,7:55,60,2006,,
2.01E+12,1.325606,52.626592,3,2,2,2006-01-02,4,20:14,40,2006,,
2.01E+12,1.377068,52.626934,3,2,1,2006-01-02,4,22:30,40,2006,,
2.01E+12,1.630969,52.685346,3,2,1,2006-01-02,4,22:20,40,2006,,
2.01E+12,1.419497,52.795433,2,4,4,2006-01-02,4,17:00,60,2006,,
2.01E+12,-1.125174,50.798104,3,2,1,2006-01-02,4,2:30,30,2006,,
2.01E+12,-1.165619,50.92529,3,2,1,2006-01-02,4,6:40,60,2006,,
2.01E+12,-1.069332,50.794795,3,2,1,2006-01-02,4,6:40,30,2006,,
2.01E+12,-1.369603,50.95022,3,2,1,2006-01-02,4,14:20,60,2006,,
2.01E+12,-1.472743,51.006754,3,1,1,2006-01-02,4,15:15,30,2006,,
2.01E+12,-1.07317,50.808764,3,3,1,2006-01-02,4,15:25,30,2006,,
2.01E+12,0.525301,51.34733,2,2,1,2006-01-02,4,23:19,30,2006,,
2.01E+12,0.499672,51.375131,3,2,1,2006-01-02,4,7:45,30,2006,,
2.01E+12,0.57806,51.343123,3,2,1,2006-01-02,4,17:30,50,2006,,
2.01E+12,0.434631,51.419491,3,2,2,2006-01-02,4,11:50,50,2006,,
2.01E+12,1.153907,51.095512,3,2,1,2006-01-02,4,17:29,70,2006,,
2.01E+12,1.402236,51.35238,3,2,1,2006-01-02,4,17:00,30,2006,,
2.01E+12,0.540415,51.24924,3,2,1,2006-01-02,4,16:00,30,2006,,
2.01E+12,-0.400235,50.813528,2,1,1,2006-01-02,4,7:08,30,2006,,
2.01E+12,-0.160561,50.825733,3,2,1,2006-01-02,4,9:06,30,2006,,
2.01E+12,-0.368821,50.822896,3,2,1,2006-01-02,4,15:44,30,2006,,
2.01E+12,0.246622,50.89532,3,2,1,2006-01-02,4,17:42,60,2006,,
2.01E+12,-0.143388,50.836254,3,2,1,2006-01-02,4,16:15,30,2006,,
2.01E+12,-0.528846,50.818009,3,1,1,2006-01-02,4,5:24,30,2006,,
2.01E+12,-0.175658,50.828219,3,1,1,2006-01-02,4,18:54,30,2006,,
2.01E+12,-0.597088,50.85734,2,2,4,2006-01-02,4,18:47,70,2006,,
2.01E+12,-0.286104,51.041957,2,2,1,2006-01-02,4,15:35,40,2006,,
2.01E+12,-3.08844,51.016633,3,2,1,2006-01-02,4,0:30,30,2006,,
2.01E+12,-2.491343,51.537353,3,2,1,2006-01-02,4,8:25,40,2006,,
2.01E+12,-2.486074,51.462294,3,2,1,2006-01-02,4,15:00,30,2006,,
2.01E+12,-2.565008,51.466436,3,4,1,2006-01-02,4,14:47,30,2006,,
2.01E+12,-2.637205,51.31644,3,2,1,2006-01-02,4,8:17,60,2006,,
2.01E+12,-2.619595,51.447098,3,2,1,2006-01-02,4,9:30,30,2006,,
2.01E+12,-2.3141,51.237454,3,2,2,2006-01-02,4,12:30,30,2006,,
2.01E+12,-2.566046,51.468859,3,1,1,2006-01-02,4,19:30,30,2006,,
2.01E+12,-2.07832,51.907988,3,2,1,2006-01-02,4,12:50,30,2006,,
2.01E+12,-1.845421,51.956824,3,2,1,2006-01-02,4,9:45,60,2006,,
2.01E+12,-1.705101,51.806675,3,2,4,2006-01-02,4,12:25,60,2006,,
2.01E+12,-3.025463,51.821635,3,2,1,2006-01-02,4,16:15,30,2006,,
2.01E+12,-3.6023,51.508196,3,1,1,2006-01-02,4,9:12,30,2006,,
2.01E+12,-2.097351,57.164684,2,4,1,2006-01-02,4,8:50,30,2006,,
2.01E+12,-2.418463,57.326619,3,1,1,2006-01-02,4,18:35,60,2006,,
2.01E+12,-2.996037,56.492434,3,1,1,2006-01-02,4,17:00,30,2006,,
2.01E+12,-3.311797,56.200534,3,1,1,2006-01-02,4,16:10,30,2006,,
2.01E+12,-3.162561,55.875674,3,1,1,2006-01-02,4,8:10,30,2006,,
2.01E+12,-3.403929,55.937947,3,2,1,2006-01-02,4,21:30,30,2006,,
2.01E+12,-3.182272,55.950966,3,1,1,2006-01-02,4,16:08,30,2006,,
2.01E+12,-3.715813,55.995914,3,2,5,2006-01-02,4,17:45,70,2006,,
2.01E+12,-3.938642,56.122739,3,2,1,2006-01-02,4,22:40,30,2006,,
2.01E+101,-0.21776,51.925092,3,2,3,2006-01-02,4,14:17,40,2006,,
2.01E+103,-0.216402,51.904299,3,2,1,2006-01-02,4,19:05,40,2006,,
200601BS70029,-0.18338,51.482141,2,3,1,2006-01-02,4,10:45,30,2006,,
200601BS70041,-0.215545,51.517796,3,2,1,2006-01-02,4,23:30,30,2006,,
200601CP00022,-0.104282,51.514072,2,2,1,2006-01-02,4,19:05,30,2006,,
200601CP00075,-0.107738,51.514128,3,1,1,2006-01-02,4,11:30,30,2006,,
200601CW10038,-0.158563,51.518983,3,2,1,2006-01-02,4,19:31,30,2006,,
200601CW10052,-0.162226,51.535407,3,2,1,2006-01-02,4,8:55,40,2006,,
200601EO40052,-0.176,51.551539,3,2,1,2006-01-02,4,9:15,30,2006,,
200601EO40057,-0.118074,51.550085,3,2,1,2006-01-02,4,18:10,30,2006,,
200601EO40085,-0.105711,51.531721,3,1,1,2006-01-02,4,17:08,30,2006,,
200601EO40101,-0.100747,51.543601,3,2,2,2006-01-02,4,8:25,30,2006,,
200601EO40160,-0.122274,51.514631,3,1,1,2006-01-02,4,21:45,30,2006,,
200601GD10027,-0.065401,51.57108,3,2,1,2006-01-02,4,19:45,30,2006,,
200601GD10033,-0.055309,51.547173,2,1,1,2006-01-02,4,13:30,30,2006,,
200601HT20066,-0.010901,51.523676,3,3,1,2006-01-02,4,13:45,30,2006,,
200601JC30030,-0.008236,51.617695,2,1,1,2006-01-02,4,8:39,30,2006,,
200601JC30038,0.010257,51.594898,3,2,1,2006-01-02,4,13:58,30,2006,,
200601JC30055,0.015871,51.57169,3,2,1,2006-01-02,4,18:45,30,2006,,
200601JI40059,0.036322,51.593369,3,2,1,2006-01-02,4,13:50,30,2006,,
200601JI40085,0.057739,51.581665,3,2,1,2006-01-02,4,8:00,30,2006,,
200601KD50032,0.234182,51.559192,2,1,1,2006-01-02,4,23:00,30,2006,,
200601KD50058,0.232679,51.593305,3,2,1,2006-01-02,4,19:11,30,2006,,
200601LX50049,-0.116468,51.470204,3,2,1,2006-01-02,4,18:05,30,2006,,
200601LX50061,-0.13096,51.46441,3,2,1,2006-01-02,4,7:30,30,2006,,
200601MM70091,-0.079897,51.497578,3,2,1,2006-01-02,4,17:00,30,2006,,
200601PL60029,-0.02312,51.444566,2,1,1,2006-01-02,4,9:42,30,2006,,
200601PL60041,-0.018452,51.426051,2,1,1,2006-01-02,4,8:24,30,2006,,
200601PL60059,-0.054491,51.437806,3,2,1,2006-01-02,4,22:15,30,2006,,
200601PL60076,-0.041264,51.474547,3,2,1,2006-01-02,4,9:25,30,2006,,
200601PL60170,-0.051366,51.477413,3,2,1,2006-01-02,4,21:00,30,2006,,
200601PY20087,0.109889,51.407893,2,2,1,2006-01-02,4,17:00,30,2006,,
200601PY20153,0.003128,51.370197,3,2,1,2006-01-02,4,12:55,30,2006,,
200601QK50832,-0.239635,51.547206,3,2,1,2006-01-02,4,18:47,30,2006,,
200601RY10027,0.115713,51.412554,3,2,1,2006-01-02,4,15:55,30,2006,,
200601RY10030,0.138155,51.468174,3,2,3,2006-01-02,4,16:40,30,2006,,
200601SX20061,-0.19439,51.600743,3,3,1,2006-01-02,4,12:28,30,2006,,
200601SX20355,-0.187217,51.646674,3,2,2,2006-01-02,4,18:00,30,2006,,
200601SX20436,-0.235639,51.602,3,2,1,2006-01-02,4,17:50,50,2006,,
200601TB00044,-0.397482,51.524919,3,2,2,2006-01-02,4,13:20,30,2006,,
200601TC00031,0.079711,51.560234,3,1,1,2006-01-02,4,13:50,30,2006,,
200601TW60016,-0.236117,51.466579,3,2,1,2006-01-02,4,20:50,30,2006,,
200601TX20041,-0.294654,51.491366,3,2,1,2006-01-02,4,21:29,40,2006,,
200601VK30010,-0.266381,51.389784,3,2,2,2006-01-02,4,8:29,30,2006,,
200601VW40007,-0.227771,51.410699,3,1,1,2006-01-02,4,7:31,30,2006,,
200601VW40019,-0.187662,51.421326,3,2,1,2006-01-02,4,10:49,30,2006,,
200601VW40021,-0.168774,51.400889,3,1,1,2006-01-02,4,16:58,30,2006,,
200601WW50030,-0.170874,51.441929,3,1,1,2006-01-02,4,17:20,30,2006,,
200601WW50034,-0.169019,51.427152,2,1,1,2006-01-02,4,16:39,30,2006,,
200601XD80033,-0.378698,51.542376,3,2,1,2006-01-02,4,19:00,30,2006,,
200601XD80403,-0.366637,51.548953,3,2,1,2006-01-02,4,8:50,30,2006,,
200601XH30053,-0.426675,51.57711,3,2,2,2006-01-02,4,8:20,30,2006,,
200601XH30150,-0.449674,51.511952,3,2,1,2006-01-02,4,9:15,30,2006,,
200601YR90142,-0.049805,51.601667,2,2,1,2006-01-02,4,7:45,30,2006,,
200601ZD30009,-0.117233,51.371115,3,2,1,2006-01-02,4,23:46,30,2006,,
200601ZT80043,-0.147776,51.347681,3,2,1,2006-01-02,4,13:36,30,2006,,
200604AX06018,-3.039337,53.828175,3,2,1,2006-01-02,4,23:00,30,2006,,
200604DA06014,-2.722334,53.762551,3,2,1,2006-01-02,4,17:17,30,2006,,
200604DL06019,-2.753838,53.810625,3,2,1,2006-01-02,4,15:08,50,2006,,
200604FA06024,-2.24484,53.795576,3,1,1,2006-01-02,4,11:15,30,2006,,
200604FE06013,-2.172218,53.856282,2,1,1,2006-01-02,4,10:20,30,2006,,
200605AA05999,-3.142702,53.382012,3,1,1,2006-01-02,4,19:47,60,2006,,
200605CC05160,-2.822742,53.357139,3,2,1,2006-01-02,4,13:30,30,2006,,
200605CC05373,-2.829604,53.370036,3,2,4,2006-01-02,4,12:50,30,2006,,
200605CC05812,-2.823945,53.388323,3,2,1,2006-01-02,4,16:30,30,2006,,
200605DD05169,-2.633319,53.471644,3,2,1,2006-01-02,4,6:39,30,2006,,
200605DD05283,-2.623031,53.458395,3,1,1,2006-01-02,4,15:20,30,2006,,
200605DD05361,-2.665636,53.495828,3,2,1,2006-01-02,4,20:15,30,2006,,
200605DD05863,-2.732253,53.451394,3,2,2,2006-01-02,4,15:30,30,2006,,
200605DD05979,-2.747541,53.455883,3,2,1,2006-01-02,4,19:33,30,2006,,
200605EE04674,-2.923355,53.410068,3,2,1,2006-01-02,4,15:00,40,2006,,
200605EE05379,-2.959428,53.428661,3,2,1,2006-01-02,4,10:38,30,2006,,
200605EE05384,-2.981801,53.41985,3,1,1,2006-01-02,4,22:25,30,2006,,
200605EE05397,-2.949584,53.459662,3,2,1,2006-01-02,4,9:15,30,2006,,
