Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Speed_limit,Year,Day_week,Sum_Casulities_by_Day
2.01E+12,-2.761831,54.275165,3,2,1,2006-01-01,1,15:35,70,2006,,
2.01E+12,-2.444868,53.112486,2,1,1,2006-01-01,1,6:08,30,2006,,
2.01E+12,-2.447317,53.103757,3,1,1,2006-01-01,1,0:30,30,2006,,
2.01E+12,-2.473728,53.250718,2,1,1,2006-01-01,1,1:51,40,2006,,
2.01E+12,-1.704819,55.000477,3,2,1,2006-01-01,1,23:48,40,2006,,
2.01E+12,-1.616385,54.995468,3,2,2,2006-01-01,1,5:20,40,2006,,
2.01E+12,-1.567038,55.179611,3,1,4,2006-01-01,1,5:45,30,2006,,
2.01E+12,-1.382696,54.914346,2,1,1,2006-01-01,1,19:20,30,2006,,
2.01E+12,-1.790195,54.996431,3,1,1,2006-01-01,1,0:15,30,2006,,
2.01E+12,-2.006062,53.956352,3,1,1,2006-01-01,1,2:00,30,2006,,
2.01E+12,-1.37781,53.787111,3,2,1,2006-01-01,1,13:10,30,2006,,
2.01E+12,-1.929576,53.855846,3,4,3,2006-01-01,1,3:17,30,2006,,
2.01E+12,-1.56036,53.762393,3,2,1,2006-01-01,1,17:30,30,2006,,
2.01E+12,-1.717278,53.729789,3,2,1,2006-01-01,1,2:30,30,2006,,
2.01E+12,-2.200324,53.051932,3,2,1,2006-01-01,1,12:40,30,2006,,
2.01E+12,-2.106883,52.971508,3,2,2,2006-01-01,1,20:35,30,2006,,
2.01E+12,-2.125813,52.977782,3,2,1,2006-01-01,1,15:30,30,2006,,
2.01E+12,-2.04797,53.021078,3,2,1,2006-01-01,1,14:30,60,2006,,
2.01E+12,-2.086933,52.972962,3,2,1,2006-01-01,1,15:15,30,2006,,
2.01E+12,-1.972755,52.673007,3,2,1,2006-01-01,1,13:44,30,2006,,
2.01E+12,-1.072117,52.643397,3,2,3,2006-01-01,1,3:00,30,2006,,
2.01E+12,0.332582,52.344232,2,2,3,2006-01-01,1,12:35,30,2006,,
2.01E+12,0.150092,52.238442,3,2,1,2006-01-01,1,12:44,60,2006,,
2.01E+12,-0.171872,52.315981,2,2,1,2006-01-01,1,17:00,30,2006,,
2.01E+12,-0.183648,52.526112,3,1,1,2006-01-01,1,2:18,60,2006,,
2.01E+12,1.066801,52.906793,2,1,1,2006-01-01,1,6:20,30,2006,,
2.01E+12,1.732789,52.603653,2,2,1,2006-01-01,1,19:35,30,2006,,
2.01E+12,-1.408412,50.909686,3,1,1,2006-01-01,1,0:56,30,2006,,
2.01E+12,-1.089456,50.803317,3,1,1,2006-01-01,1,3:26,30,2006,,
2.01E+12,-0.821914,51.119809,3,2,1,2006-01-01,1,11:40,40,2006,,
2.01E+12,-1.315947,50.706392,3,2,1,2006-01-01,1,12:10,60,2006,,
2.01E+12,-0.982593,50.94695,3,1,2,2006-01-01,1,10:38,70,2006,,
2.01E+12,-1.097981,50.846999,2,2,2,2006-01-01,1,17:21,40,2006,,
2.01E+12,-1.418916,50.934289,3,2,1,2006-01-01,1,20:42,30,2006,,
2.01E+12,-1.474142,50.946061,3,1,1,2006-01-01,1,22:40,70,2006,,
2.01E+12,0.507557,51.385306,3,1,1,2006-01-01,1,3:10,30,2006,,
2.01E+12,0.201102,51.43877,3,2,1,2006-01-01,1,18:30,40,2006,,
2.01E+12,0.445825,51.054469,3,2,1,2006-01-01,1,16:40,40,2006,,
2.01E+12,-0.558351,50.81415,3,1,1,2006-01-01,1,22:31,30,2006,,
2.01E+12,-0.128981,50.823612,3,2,1,2006-01-01,1,9:20,30,2006,,
2.01E+12,-0.134295,50.832781,3,1,1,2006-01-01,1,2:00,30,2006,,
2.01E+12,-2.412994,51.546917,3,1,1,2006-01-01,1,1:40,30,2006,,
2.01E+12,-2.613158,51.47141,3,2,1,2006-01-01,1,2:20,30,2006,,
2.01E+12,-2.190462,51.888799,3,1,1,2006-01-01,1,4:59,30,2006,,
2.01E+12,-3.119449,51.509303,3,4,1,2006-01-01,1,2:07,30,2006,,
2.01E+12,-3.247812,51.476535,3,2,1,2006-01-01,1,18:42,30,2006,,
2.01E+12,-3.974713,51.652335,3,1,1,2006-01-01,1,2:50,30,2006,,
2.01E+12,-3.423243,56.041063,2,2,1,2006-01-01,1,21:00,30,2006,,
2.01E+12,-3.203809,55.94312,3,1,1,2006-01-01,1,2:48,30,2006,,
2.01E+12,-3.173983,55.968118,2,1,1,2006-01-01,1,16:45,30,2006,,
2.01E+12,-3.716969,55.822908,3,1,1,2006-01-01,1,6:00,30,2006,,
2.01E+12,-3.1852,55.957677,3,1,1,2006-01-01,1,1:05,30,2006,,
200601EO40233,-0.133619,51.526233,2,1,1,2006-01-01,1,5:44,30,2006,,
200601EO40305,-0.144279,51.54061,3,1,1,2006-01-01,1,3:48,30,2006,,
200601JC30118,0.005726,51.583825,3,1,1,2006-01-01,1,23:18,30,2006,,
200601JC30129,-0.013669,51.562752,3,2,1,2006-01-01,1,22:30,30,2006,,
200601JC30130,-0.035584,51.566448,3,2,1,2006-01-01,1,3:00,30,2006,,
200601KD50007,0.212677,51.582802,2,2,1,2006-01-01,1,14:10,30,2006,,
200601KD50472,0.181947,51.592191,3,2,4,2006-01-01,1,13:45,50,2006,,
200601KF60045,0.038299,51.527867,3,2,1,2006-01-01,1,9:40,30,2006,,
200601LX50185,-0.142233,51.463331,3,2,1,2006-01-01,1,8:15,30,2006,,
200601MM70009,-0.078516,51.448185,3,3,1,2006-01-01,1,13:51,30,2006,,
200601MM70273,-0.062681,51.482277,3,2,1,2006-01-01,1,4:30,30,2006,,
200601PY20003,0.108617,51.383364,3,2,1,2006-01-01,1,21:40,30,2006,,
200601QA10128,-0.342169,51.579274,3,2,2,2006-01-01,1,17:45,30,2006,,
200601QK50194,-0.272321,51.567655,3,2,1,2006-01-01,1,19:27,30,2006,,
200601RY10103,0.110539,51.422,3,3,1,2006-01-01,1,0:39,30,2006,,
200601SX20209,-0.19968,51.591113,3,2,2,2006-01-01,1,15:06,30,2006,,
200601SX20210,-0.169104,51.579579,3,2,1,2006-01-01,1,9:05,30,2006,,
200601TC00007,-0.026329,51.510268,3,2,1,2006-01-01,1,0:15,30,2006,,
200601TD00018,-0.073638,51.488842,3,2,2,2006-01-01,1,23:05,30,2006,,
200601VW40081,-0.219763,51.416962,3,2,1,2006-01-01,1,12:28,30,2006,,
200601WW50013,-0.19733,51.457087,3,2,1,2006-01-01,1,2:10,30,2006,,
200601YE80011,-0.135773,51.611067,3,2,1,2006-01-01,1,3:40,40,2006,,
200601YR90111,-0.105933,51.592335,2,1,3,2006-01-01,1,6:19,30,2006,,
200604AM06001,-3.029553,53.78853,2,2,2,2006-01-01,1,21:15,30,2006,,
200604AM06002,-3.052712,53.810171,2,1,1,2006-01-01,1,21:45,30,2006,,
200604BA06001,-2.795253,54.024547,3,3,5,2006-01-01,1,1:41,30,2006,,
200604BB06004,-2.898175,54.04746,3,1,1,2006-01-01,1,10:50,30,2006,,
200604DL06001,-2.707461,53.771179,3,2,3,2006-01-01,1,19:30,30,2006,,
200604DL06002,-2.721407,53.770376,2,2,4,2006-01-01,1,11:40,30,2006,,
200604DL06009,-2.718066,53.779115,3,3,1,2006-01-01,1,8:45,30,2006,,
200604EA06003,-2.537225,53.723705,3,2,1,2006-01-01,1,10:55,30,2006,,
200604FA06002,-2.245395,53.786677,3,2,1,2006-01-01,1,2:31,30,2006,,
200604FG06001,-2.216663,53.836706,2,2,1,2006-01-01,1,1:33,30,2006,,
200604FG06007,-2.119785,53.862548,3,2,1,2006-01-01,1,20:50,30,2006,,
200604TA06001,-2.694457,53.589776,3,1,1,2006-01-01,1,2:15,70,2006,,
200605AA04526,-3.033488,53.379412,3,2,1,2006-01-01,1,22:15,30,2006,,
200605DD04653,-2.77798,53.423868,2,1,1,2006-01-01,1,20:40,30,2006,,
200605FF04270,-2.864688,53.358371,3,2,1,2006-01-01,1,18:10,30,2006,,
200606A041660,-2.204228,53.497867,3,1,1,2006-01-01,1,2:10,30,2006,,
200606A041666,-2.17283,53.524433,3,2,1,2006-01-01,1,14:10,30,2006,,
200606B042001,-2.247084,53.453382,3,1,1,2006-01-01,1,8:30,30,2006,,
200606B042225,-2.235815,53.458079,3,2,1,2006-01-01,1,20:16,30,2006,,
200606F041671,-2.360501,53.491655,3,1,1,2006-01-01,1,1:10,30,2006,,
200606F042145,-2.36371,53.479241,2,2,1,2006-01-01,1,15:16,30,2006,,
200606J041837,-2.125021,53.424269,3,1,1,2006-01-01,1,21:20,30,2006,,
200606J041845,-2.19525,53.380939,3,2,2,2006-01-01,1,16:15,30,2006,,
200606K041855,-2.46638,53.566704,3,2,1,2006-01-01,1,2:30,30,2006,,
200606K041856,-2.559497,53.597495,3,2,1,2006-01-01,1,15:30,30,2006,,
200606L041738,-2.504987,53.52466,3,2,3,2006-01-01,1,11:40,30,2006,,
200606L041798,-2.670542,53.548745,3,2,1,2006-01-01,1,14:55,30,2006,,
200606M042019,-2.287947,53.46129,3,2,1,2006-01-01,1,21:35,30,2006,,
200614A000506,-1.113756,53.524869,2,1,1,2006-01-01,1,1:15,30,2006,,
200614A002406,-1.175175,53.500319,3,2,2,2006-01-01,1,17:15,30,2006,,
2006170S10016,-1.345658,54.561865,3,2,5,2006-01-01,1,0:35,30,2006,,
200620D005601,-1.81836,52.493431,3,3,2,2006-01-01,1,16:51,30,2006,,
200620E011203,-1.887075,52.46286,3,2,1,2006-01-01,1,14:40,30,2006,,
200620E016603,-1.877531,52.45458,3,2,1,2006-01-01,1,21:30,30,2006,,
200620F029702,-1.927684,52.471972,3,2,1,2006-01-01,1,7:00,30,2006,,
200620F603802,-1.968315,52.47217,3,2,3,2006-01-01,1,22:20,30,2006,,
200620G002101,-2.139096,52.568016,3,2,1,2006-01-01,1,4:10,30,2006,,
200620H003002,-2.052796,52.575998,3,1,4,2006-01-01,1,1:25,50,2006,,
200620J003402,-2.103617,52.475725,3,2,1,2006-01-01,1,17:30,30,2006,,
200620J003502,-2.154982,52.470454,3,2,1,2006-01-01,1,17:31,30,2006,,
200620J005201,-2.091469,52.510257,3,2,3,2006-01-01,1,21:55,30,2006,,
200620K085302,-2.015133,52.478106,3,4,1,2006-01-01,1,2:00,30,2006,,
200620M000403,-1.500571,52.448914,3,2,1,2006-01-01,1,17:05,30,2006,,
200620M002102,-1.460532,52.390031,3,1,1,2006-01-01,1,23:45,30,2006,,
200630A000001,-1.359666,53.011003,2,2,1,2006-01-01,1,18:05,30,2006,,
200630D000001,-1.527639,52.765204,2,2,2,2006-01-01,1,1:15,30,2006,,
200630D000002,-1.47709,52.914401,3,1,1,2006-01-01,1,18:45,30,2006,,
200630D000006,-1.469823,52.912751,3,2,1,2006-01-01,1,2:05,30,2006,,
20063102A0046,-1.168897,53.134418,2,1,1,2006-01-01,1,2:18,40,2006,,
20063104C0005,-1.185145,52.946918,1,2,2,2006-01-01,1,16:00,30,2006,,
200632B000106,-0.646616,52.91054,3,1,2,2006-01-01,1,20:08,30,2006,,
200634TM08001,-1.012104,52.229346,1,1,2,2006-01-01,1,22:11,70,2006,,
200640B000920,-0.428294,52.151174,3,2,1,2006-01-01,1,19:25,30,2006,,
20064100B0001,-0.218073,51.766475,3,2,2,2006-01-01,1,2:58,30,2006,,
20064100F4002,-0.354232,51.812252,3,2,2,2006-01-01,1,19:15,30,2006,,
